ANT1,5.49,-15.93,180.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,10.26,5.16,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-16.20,-9.50,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,3.37,6.01,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,9.36,2.62,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,6.16,5.16,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,7.22,5.12,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,7.10,-6.51,270.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,5.17,5.19,270.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,3.39,4.65,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-3.57,1.98,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-2.78,-3.67,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,20.31,13.89,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,9.16,5.18,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-15.89,-12.85,180.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,0.48,-7.00,270.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,2.18,-6.99,270.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,7.13,-9.22,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,5.58,14.78,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,13.19,12.07,180.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,5.76,16.31,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-11.95,16.50,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,13.99,-16.47,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,9.38,1.12,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-14.02,-16.45,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-2.98,-16.47,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,16.52,-9.80,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,11.92,16.65,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,19.80,-12.12,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-13.84,16.44,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-18.46,8.84,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,-18.46,11.13,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,7.11,-10.28,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,5.56,13.94,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,5.68,12.44,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,-3.41,2.84,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-1.82,5.34,90.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,5.24,-6.84,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,-2.94,5.27,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,9.35,-0.78,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-6.70,-10.55,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
